Row,Col,Question,Answer,Categories,Rows,Cols
1,0,Quantitative research,Countable,Uri,5.0,5.0
2,0,Qualitative data,Uncountable,Tama o Mali,,
3,0,Case study,Countable,Bahagi ,,
4,0,Research ethics,Uncountable,Bilang ,,
5,0,Surveys,Countable,Termino at Proseso,,
1,1,Ang bibliography ay listahan ng mga sanggunian.,Tama,Trivia,,
2,1,Lahat ng pananaliksik ay nangangailangan ng hypothesis.,Mali,,,
3,1,Ang plagiarism ay ilegal na pangongopya.,Tama,,,
4,1,Ang abstract ay dapat 10 pahina.,Mali,,,
5,1,Ang SPSS ay gamit sa statistical analysis.,Tama,,,
1,2,Anong bahagi ng research ang naglalahad ng layunin?,Introduction,,,
2,2,Anong proseso ang ginagamit sa pagpili ng respondents?,Sampling,,,
3,2,Anong parte ang nagbibigay-kahulugan sa datos?,Analysis,,,
4,2,Anong tawag sa pag-aaral ng kaso?,Case study,,,
5,2,Anong dokumento ang naglalaman ng research proposal?,Chapter 1,,,
1,3,Ilang chapters kadalasan sa thesis?,5 (I-V),,,
2,3,Ilang respondents minimum sa qualitative research?,Oct-15,,,
3,3,Ilang variables sa descriptive research?,2 (Independent at Dependent),,,
4,3,Ilang words kadalasan ang abstract?,150-300,,,
5,3,Ilang panelists sa defense?,03-May,,,
1,4,Anong tawag sa sistematikong paghahanap ng literatura?,Literature review,,,
2,4,Anong tawag sa pagsubok ng hypothesis?,Testing,,,
3,4,Anong proseso ang nagpapatibay sa reliability?,Validation,,,
4,4,Anong tawag sa pag-aaral ng numero?,Quantitative,,,
5,4,Anong dokumento ang pinagbabasehan ng research?,Theoretical framework,,,
1,5,Pinakamahalagang bahagi ng research?,Results and Discussion,,,
2,5,Pinakamahirap na chapter isulat?,Review of Related Literature,,,
3,5,Karaniwang format ng citation sa Filipino research?,APA 7th Edition,,,
4,5,Pinakamadaling paraan ng data collection?,Survey questionnaire,,,
5,5,Pinaka-critical na tanong sa defense?,'Ano ang kontribusyon ng iyong pag-aaral?',,,
